Base Type,Display Name,Base Type ID,Type,Is Weapon,subTypeId,Level Requirement,Item Tags,Added Weapon Range,Attack Rate,Class Requirement,Sub Class Requirement,IM Set Tier,Unique Override Level Requirement,Unique Level Requirement,Unique ID,Set ID,Is Fractured Unique,Set Unique,Is Legendary,Unique Description Parts
Helmets,Refuge Helmet,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,
Helmets,Jewelled Circlet,0,0,0,1,7,0,0,1,0,0,1,,,,,,,,
Helmets,Iron Casque,0,0,0,2,10,0,0,1,0,0,2,,,,,,,,
Helmets,Dome Cap,0,0,0,4,24,0,0,1,0,0,4,,,,,,,,
Helmets,Bronze Casque,0,0,0,5,39,0,0,1,0,0,8,,,,,,,,
Helmets,Gladiator Helmet,0,0,0,6,65,0,0,1,0,0,8,,,,,,,,
Helmets,Outcast Cage,0,0,0,8,0,0,0,1,8,0,0,,,,,,,,
Helmets,Skull Cage,0,0,0,9,5,0,0,1,8,0,1,,,,,,,,
Helmets,Death Mask,0,0,0,10,23,0,0,1,8,0,2,,,,,,,,
Helmets,Tomb Cage,0,0,0,11,31,0,0,1,8,0,4,,,,,,,,
Helmets,Heretic Cage,0,0,0,12,46,0,0,1,8,0,3,,,,,,,,
Helmets,Ivory Mask,0,0,0,13,61,0,0,1,8,0,7,,,,,,,,
Helmets,Profane Mask,0,0,0,14,64,0,0,1,8,0,6,,,,,,,,
Helmets,Burial Mask,0,0,0,15,70,0,0,1,8,0,8,,,,,,,,
Helmets,Copper Circlet,0,0,0,16,0,0,0,1,2,0,0,,,,,,,,
Helmets,Weathered Crown,0,0,0,17,6,0,0,1,2,0,4,,,,,,,,
Helmets,Shadow Crest,0,0,0,18,15,0,0,1,2,0,2,,,,,,,,
Helmets,Ruby Circlet,0,0,0,19,29,0,0,1,2,0,3,,,,,,,,
Helmets,Silver Crown,0,0,0,20,42,0,0,1,2,0,1,,,,,,,,
Helmets,Diadem,0,0,0,21,59,0,0,1,2,0,7,,,,,,,,
Helmets,Solar Crown,0,0,0,22,68,0,0,1,2,0,6,,,,,,,,
Helmets,Gilded Crown,0,0,0,23,72,0,0,1,2,0,7,,,,,,,,
Helmets,Leather Cowl,0,0,0,24,0,0,0,1,1,0,1,,,,,,,,
Helmets,Wolf Pelt,0,0,0,25,12,0,0,1,1,0,0,,,,,,,,
Helmets,Forest Cowl,0,0,0,26,22,0,0,1,1,0,4,,,,,,,,
Helmets,Nomad Cowl,0,0,0,27,30,0,0,1,1,0,3,,,,,,,,
Helmets,Ivory Cowl,0,0,0,28,42,0,0,1,1,0,7,,,,,,,,
Helmets,Farwood Cowl,0,0,0,29,61,0,0,1,1,0,8,,,,,,,,
Helmets,Darkwolf Pelt,0,0,0,30,67,0,0,1,1,0,5,,,,,,,,
Helmets,Icewolf Pelt,0,0,0,31,67,0,0,1,1,0,2,,,,,,,,
Helmets,Battered Helm,0,0,0,32,0,0,0,1,4,0,0,,,,,,,,
Helmets,Crested Helm,0,0,0,33,4,0,0,1,4,0,1,,,,,,,,
Helmets,Solar Helm,0,0,0,34,13,0,0,1,4,0,2,,,,,,,,
Helmets,Full Helm,0,0,0,35,28,0,0,1,4,0,3,,,,,,,,
Helmets,Bronze Helm,0,0,0,36,42,0,0,1,4,0,4,,,,,,,,
Helmets,Myrmidon Helm,0,0,0,37,60,0,0,1,4,0,5,,,,,,,,
Helmets,Dawn Helm,0,0,0,38,68,0,0,1,4,0,6,,,,,,,,
Helmets,Winged Helm,0,0,0,39,70,0,0,1,4,0,8,,,,,,,,
Helmets,Celestial Helm,0,0,0,40,71,0,0,1,2,0,8,,,,,,,,
Helmets,Horned Cowl,0,0,0,41,70,0,0,1,1,0,6,,,,,,,,
Helmets,Leather Mask,0,0,0,42,0,0,0,1,16,0,5,,,,,,,,
Helmets,Cloth Hood,0,0,0,43,7,0,0,1,16,0,3,,,,,,,,
Helmets,Verdant Hood,0,0,0,44,24,0,0,1,16,0,0,,,,,,,,
Helmets,Desert Mask,0,0,0,45,32,0,0,1,16,0,1,,,,,,,,
Helmets,Dusk Hood,0,0,0,46,38,0,0,1,16,0,2,,,,,,,,
Helmets,Kelthan Mask,0,0,0,47,53,0,0,1,16,0,4,,,,,,,,
Helmets,Blood Cowl,0,0,0,48,57,0,0,1,16,0,6,,,,,,,,
Helmets,Scalebane Grimace,0,0,0,49,63,0,0,1,16,0,8,,,,,,,,
Helmets,Umbral Visage,0,0,0,50,70,0,0,1,16,0,7,,,,,,,,
Body Armor,Refuge Armor,1,1,0,0,0,0,0,1,0,0,0,,,,,,,,
Body Armor,Leather Coat,1,1,0,1,5,0,0,1,0,0,1,,,,,,,,
Body Armor,Iron Armor,1,1,0,2,15,0,0,1,0,0,2,,,,,,,,
Body Armor,Noble Raiment,1,1,0,3,23,0,0,1,0,0,8,,,,,,,,
Body Armor,Banded Armor,1,1,0,4,27,0,0,1,0,0,4,,,,,,,,
Body Armor,Copper Plate,1,1,0,5,41,0,0,1,0,0,5,,,,,,,,
Body Armor,Gladiator Armor,1,1,0,6,60,0,0,1,0,0,6,,,,,,,,
Body Armor,Forest Garb,1,1,0,7,35,0,0,1,0,0,7,,,,,,,,
Body Armor,Outcast Rags,1,1,0,8,0,0,0,1,8,0,0,,,,,,,,
Body Armor,Witch Robes,1,1,0,9,5,0,0,1,8,0,1,,,,,,,,
Body Armor,Heretic Armor,1,1,0,10,14,0,0,1,8,0,3,,,,,,,,
Body Armor,Coven Robes,1,1,0,11,31,0,0,1,8,0,4,,,,,,,,
Body Armor,Ribbed Cuirass,1,1,0,12,46,0,0,1,8,0,5,,,,,,,,
Body Armor,Burial Plate,1,1,0,13,61,0,0,1,8,0,6,,,,,,,,
Body Armor,Profane Armor,1,1,0,14,64,0,0,1,8,0,7,,,,,,,,
Body Armor,Immortal Plate,1,1,0,15,66,0,0,1,8,0,8,,,,,,,,
Body Armor,Traveling Coat,1,1,0,16,0,0,0,1,2,0,0,,,,,,,,
Body Armor,Adept Robes,1,1,0,17,8,0,0,1,2,0,1,,,,,,,,
Body Armor,Temple Garb,1,1,0,18,19,0,0,1,2,0,2,,,,,,,,
Body Armor,Opulent Coat,1,1,0,19,25,0,0,1,2,0,3,,,,,,,,
Body Armor,Arcanist Robes,1,1,0,20,40,0,0,1,2,0,4,,,,,,,,
Body Armor,Elder Raiment,1,1,0,21,62,0,0,1,2,0,5,,,,,,,,
Body Armor,Battlemage Robes,1,1,0,22,65,0,0,1,2,0,6,,,,,,,,
Body Armor,Archmage Robes,1,1,0,23,70,0,0,1,2,0,7,,,,,,,,
Body Armor,Hide Armor,1,1,0,24,0,0,0,1,1,0,0,,,,,,,,
Body Armor,Wooden Armor,1,1,0,25,4,0,0,1,1,0,1,,,,,,,,
Body Armor,Leather Armor,1,1,0,26,16,0,0,1,1,0,2,,,,,,,,
Body Armor,Rowan Armor,1,1,0,27,30,0,0,1,1,0,3,,,,,,,,
Body Armor,Nomad Garb,1,1,0,28,40,0,0,1,1,0,4,,,,,,,,
Body Armor,Oak Armor,1,1,0,29,58,0,0,1,1,0,5,,,,,,,,
Body Armor,Wild Armor,1,1,0,30,67,0,0,1,1,0,7,,,,,,,,
Body Armor,Heoborean Armor,1,1,0,31,67,0,0,1,1,0,8,,,,,,,,
Body Armor,Worn Plate,1,1,0,32,0,0,0,1,4,0,0,,,,,,,,
Body Armor,Iron Cuirass,1,1,0,33,5,0,0,1,4,0,1,,,,,,,,
Body Armor,Solar Plate,1,1,0,34,13,0,0,1,4,0,2,,,,,,,,
Body Armor,Full Plate,1,1,0,35,28,0,0,1,4,0,3,,,,,,,,
Body Armor,Bronze Cuirass,1,1,0,36,42,0,0,1,4,0,4,,,,,,,,
Body Armor,Myrmidon Plate,1,1,0,37,60,0,0,1,4,0,5,,,,,,,,
Body Armor,Dawn Plate,1,1,0,38,68,0,0,1,4,0,7,,,,,,,,
Body Armor,Solarum Plate,1,1,0,39,70,0,0,1,4,0,8,,,,,,,,
Body Armor,Augury Plate,1,1,0,40,65,0,0,1,4,0,6,,,,,,,,
Body Armor,Celestial Robes,1,1,0,41,72,0,0,1,2,0,8,,,,,,,,
Body Armor,Shamanic Garb,1,1,0,42,64,0,0,1,1,0,6,,,,,,,,
Body Armor,Cloth Armour,1,1,0,43,0,0,0,1,16,0,0,,,,,,,,
Body Armor,Leather Hauberk,1,1,0,44,4,0,0,1,16,0,1,,,,,,,,
Body Armor,Padded Armour,1,1,0,45,14,0,0,1,16,0,2,,,,,,,,
Body Armor,Hunting Garb,1,1,0,46,24,0,0,1,16,0,3,,,,,,,,
Body Armor,Boiled Leather,1,1,0,47,32,0,0,1,16,0,4,,,,,,,,
Body Armor,Mercenary Leather,1,1,0,48,48,0,0,1,16,0,5,,,,,,,,
Body Armor,Brigandine Armour,1,1,0,49,58,0,0,1,16,0,7,,,,,,,,
Body Armor,Scalebane Armour,1,1,0,50,66,0,0,1,16,0,6,,,,,,,,
Body Armor,Crimson Garb,1,1,0,51,70,0,0,1,16,0,8,,,,,,,,
Belts,Sash,2,2,0,0,0,0,0,1,0,0,0,,,,,,,,
Belts,Leather Belt,2,2,0,1,14,0,0,1,0,0,0,,,,,,,,
Belts,Plated Belt,2,2,0,2,19,0,0,1,0,0,0,,,,,,,,
Belts,Bronze Belt,2,2,0,4,44,0,0,1,0,0,0,,,,,,,,
Belts,Ranger's Belt,2,2,0,5,60,0,0,1,0,0,0,,,,,,,,
Belts,Noble Sash,2,2,0,6,32,0,0,1,0,0,1,,,,,,,,
Boots,Leather Boots,3,3,0,0,0,0,0,1,0,0,1,,,,,,,,
Boots,Refuge Boots,3,3,0,1,8,0,0,1,0,0,2,,,,,,,,
Boots,Iron Greaves,3,3,0,2,16,0,0,1,0,0,3,,,,,,,,
Boots,Outcast Boots,3,3,0,3,23,0,0,1,0,0,4,,,,,,,,
Boots,Brigandine Boots,3,3,0,4,30,0,0,1,0,0,5,,,,,,,,
Boots,Heoborean Boots,3,3,0,5,45,0,0,1,0,0,6,,,,,,,,
Boots,Solarum Greaves,3,3,0,6,67,0,0,1,0,0,8,,,,,,,,
Boots,Shrine Boots,3,3,0,8,58,0,0,1,0,0,7,,,,,,,,
Boots,Arcane Boots,3,3,0,9,60,0,0,1,0,0,7,,,,,,,,
Gloves,Leather Gloves,4,4,0,0,0,0,0,1,0,0,0,,,,,,,,
Gloves,Refuge Gloves,4,4,0,1,6,0,0,1,0,0,1,,,,,,,,
Gloves,Iron Gauntlets,4,4,0,2,15,0,0,1,0,0,2,,,,,,,,
Gloves,Outcast Gloves,4,4,0,3,25,0,0,1,0,0,3,,,,,,,,
Gloves,Noble Gloves,4,4,0,4,31,0,0,1,0,0,4,,,,,,,,
Gloves,Engraved Gauntlets,4,4,0,5,45,0,0,1,0,0,6,,,,,,,,
Gloves,Solarum Bracers,4,4,0,6,62,0,0,1,0,0,7,,,,,,,,
Gloves,Crusader Gauntlets,4,4,0,7,64,0,0,1,0,0,8,,,,,,,,
Gloves,Gluttonous Gloves,4,4,0,8,91,0,0,1,0,0,8,,,,,,,,
1H Axes,Hatchet,5,5,1,0,0,0,-0.1,10.05,0,0,0,,,,,,,,
1H Axes,Pickaxe,5,5,1,1,6,0,0,0.98,0,0,0,,,,,,,,
1H Axes,Rusted Cleaver,5,5,1,2,12,0,0,10.05,0,0,0,,,,,,,,
1H Axes,Battle Axe,5,5,1,3,24,0,0,10.05,0,0,0,,,,,,,,
1H Axes,Sickle,5,5,1,4,35,0,0,10.09,0,0,0,,,,,,,,
1H Axes,Wengari Axe,5,5,1,5,46,0,0,10.09,0,0,0,,,,,,,,
1H Axes,Crescent Axe,5,5,1,6,51,0,0,10.05,0,0,0,,,,,,,,
1H Axes,Chitin Claw,5,5,1,7,59,0,-0.1,10.05,0,0,0,,,,,,,,
1H Axes,Eagle Wing,5,5,1,8,63,0,0,10.05,0,0,0,,,,,,,,
1H Axes,Soul Harvester,5,5,1,9,66,0,0,10.09,0,0,0,,,,,,,,
1H Axes,Shadow Cleaver,5,5,1,10,71,0,0,0.98,0,0,0,,,,,,,,
1H Axes,Dragonbone Axe,5,5,1,11,80,0,0,10.05,0,0,0,,,,,,,,
1H Dagger,Poignard,6,6,1,0,0,0,-0.1,10.14,0,0,0,,,,,,,,
1H Dagger,Sacrificial Knife,6,6,1,1,12,0,0,10.14,0,0,0,,,,,,,,
